type, food, recipe, meal
pizza,quick and easy pizza crust,"1 (.25 ounce) package active dry yeast,1 teaspoon white sugar,1 cup warm water (110 degrees F/45 degrees C),2 1/2 cups bread flour,2 tablespoons olive oil,1 teaspoon salt",dinner
pizza,jays signature pizza crust,"2 1/4 teaspoons active dry yeast,1/2 teaspoon brown sugar,1 1/2 cups warm water (110 degrees F/45 degrees C),1 teaspoon salt,2 tablespoons olive oil,3 1/3 cups all-purpose flour",dinner
pizza,veggie pizza,"2 (8 ounce) packages refrigerated crescent rolls,1 cup sour cream,1 (8 ounce) package cream cheese, softened,1 teaspoon dried dill weed,1/4 teaspoon garlic salt,1 (1 ounce) package ranch dressing mix,1 small onion, finely chopped,1 stalk celery, thinly sliced,1/2 cup halved and thinly-sliced radishes,1 red bell pepper, chopped,1 1/2 cups fresh broccoli, chopped,1 carrot, grated",dinner
pizza,bread machine pizza dough,"1 cup flat beer,2 tablespoons butter,2 tablespoons sugar,1 teaspoon salt,2 1/2 cups all-purpose flour,2 1/4 teaspoons yeast",dinner
pizza,four cheese margherita pizza,"1/4 cup olive oil,1 tablespoon minced garlic,1/2 teaspoon sea salt,8 Roma tomatoes, sliced,2 (12 inch) pre-baked pizza crusts,8 ounces shredded Mozzarella cheese,4 ounces shredded Fontina cheese,10 fresh basil leaves, washed, dried,1/2 cup freshly grated Parmesan cheese,1/2 cup crumbled feta cheese",dinner
pizza,pizza on the grill i,"1 (.25 ounce) package active dry yeast,1 cup warm water,1 pinch white sugar,2 teaspoons kosher salt,1 tablespoon olive oil,3 1/3 cups all-purpose flour,2 cloves garlic, minced,1 tablespoon chopped fresh basil,1/2 cup olive oil,1 teaspoon minced garlic,1/4 cup tomato sauce,1 cup chopped tomatoes,1/4 cup sliced black olives,1/4 cup roasted red peppers,2 cups shredded mozzarella cheese,4 tablespoons chopped fresh basil",dinner
pizza,garden veggie pizza squares,"1 (8 ounce) package refrigerated crescent rolls,1 (8 ounce) package cream cheese, softened,1 (1 ounce) package Ranch-style dressing mix,2 carrots, finely chopped,1/2 cup chopped red bell peppers,1/2 cup chopped green bell pepper,1/2 cup fresh broccoli, chopped,1/2 cup chopped green onions",dinner
pizza,brick oven pizza brooklyn style,"1 teaspoon active dry yeast,1/4 cup warm water,1 cup cold water,1 teaspoon salt,3 cups bread flour,6 ounces low moisture mozzarella cheese, thinly sliced,1/2 cup no salt added canned crushed tomatoes,1/4 teaspoon freshly ground black pepper,1/2 teaspoon dried oregano,3 tablespoons extra-virgin olive oil,6 leaves fresh basil, torn",dinner
pizza,jimmys mexican pizza,"1/2 pound ground beef,1 medium onion, diced,1 clove garlic, minced,1 tablespoon chili powder,1 teaspoon ground cumin,1/2 teaspoon paprika,1/2 teaspoon black pepper,1/2 teaspoon salt,1 (16 ounce) can refried beans,4 (10 inch) flour tortillas,1/2 cup salsa,1 cup shredded Cheddar cheese,1 cup shredded Monterey Jack cheese,2 green onions, chopped,2 roma (plum) tomatoes, diced,1/4 cup thinly sliced jalapeno pepper,1/4 cup sour cream (optional)",dinner
pizza,exquisite pizza sauce,"1 (6 ounce) can tomato paste,6 fluid ounces warm water (110 degrees F/45 degrees C),3 tablespoons grated Parmesan cheese,1 teaspoon minced garlic,2 tablespoons honey,1 teaspoon anchovy paste (optional),3/4 teaspoon onion powder,1/4 teaspoon dried oregano,1/4 teaspoon dried marjoram,1/4 teaspoon dried basil,1/4 teaspoon ground black pepper,1/8 teaspoon cayenne pepper,1/8 teaspoon dried red pepper flakes,salt to taste",dinner
pizza,vegetable pizza i,"2 (8 ounce) packages refrigerated crescent rolls,2 (8 ounce) packages cream cheese, softened,1 cup mayonnaise,1 (1 ounce) package dry Ranch-style dressing mix,1 cup fresh broccoli, chopped,1 cup chopped tomatoes,1 cup chopped green bell pepper,1 cup chopped cauliflower,1 cup shredded carrots,1 cup shredded Cheddar cheese",dinner
pizza,amazing whole wheat pizza crust,"1 teaspoon white sugar,1 1/2 cups warm water (110 degrees F/45 degrees C),1 tablespoon active dry yeast,1 tablespoon olive oil,1 teaspoon salt,2 cups whole wheat flour,1 1/2 cups all-purpose flour",dinner
pizza,pear and gorgonzola cheese pizza,"1 (16 ounce) package refrigerated pizza crust dough,4 ounces sliced provolone cheese,1 Bosc pear, thinly sliced,2 ounces chopped walnuts,2 1/2 ounces Gorgonzola cheese, crumbled,2 tablespoons chopped fresh chives",dinner
pizza,whole wheat and honey pizza dough,"1 (.25 ounce) package active dry yeast,1 cup warm water,2 cups whole wheat flour,1/4 cup wheat germ,1 teaspoon salt,1 tablespoon honey",dinner
pizza,fast english muffin pizzas,"4 English muffins, split,1/2 cup canned pizza sauce,2 cups shredded mozzarella cheese,16 slices pepperoni sausage",dinner
pasta,cajun chicken pasta,"4 ounces linguine pasta,2 skinless, boneless chicken breast halves,2 teaspoons Cajun seasoning,2 tablespoons butter,1 red bell pepper, sliced,1 green bell pepper, sliced,4 fresh mushrooms, sliced,1 green onion, chopped,1 cup heavy cream,1/4 teaspoon dried basil,1/4 teaspoon lemon pepper,1/4 teaspoon salt,1/8 teaspoon garlic powder,1/8 teaspoon ground black pepper,1/4 cup grated Parmesan cheese",dinner
